"Edad:";"Edad:";"¿En qué destinás la mayor parte de tu dinero de ocio?";"¿Cuál es tu medio principal para manejar o liberar el estrés? ";"¿Con qué frecuencia asistes a bares, antros o fiestas al mes? ";"¿Cómo calificarías tu nivel de estrés actual promedio? (Del 1 al 10) 🤦🏻‍♂️|💆🏻‍♂️";"Tu fin de semana ideal se describe mejor como:";"_C_mo_calificar_as_t_omedio_Del_1_al_10";"start";"end";"start-geopoint";"_start-geopoint_latitude";"_start-geopoint_longitude";"_start-geopoint_altitude";"_start-geopoint_precision";"today";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"__version__";"_tags";"meta/rootUuid";"_index"
"22";"Mujer";"B) Gimnasio, comida sana, naturaleza o terapias🧠💆🏻‍♂️";"A) Salir a desconectarme, beber y socializar .🍸🍾🪩";"B) 1 o 2 veces. 🧏🏻‍♂️";"2";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"";"2026-07-23T19:09:10.417-05:00";"2026-07-23T19:09:56.408-05:00";"";"";"";"";"";"";"820806720";"a942551f-63aa-4f19-a133-7b53b43c38d6";"2026-07-24T16:30:57";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:a942551f-63aa-4f19-a133-7b53b43c38d6";"11"
"20";"Hombre";"B) Gimnasio, comida sana, naturaleza o terapias🧠💆🏻‍♂️";"A) Salir a desconectarme, beber y socializar .🍸🍾🪩";"B) 1 o 2 veces. 🧏🏻‍♂️";"6";"A) Improvisado,  amigos y música. 👨🏻‍🦰👩🏻‍🦱💃🕺";"";"2026-07-23T19:10:27.791-05:00";"2026-07-23T19:13:52.735-05:00";"";"";"";"";"";"";"820806726";"97707ee9-9722-488a-9113-fe089d90bf55";"2026-07-24T16:30:57";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:97707ee9-9722-488a-9113-fe089d90bf55";"12"
"44";"Mujer";"B) Gimnasio, comida sana, naturaleza o terapias🧠💆🏻‍♂️";"C) Organizar mi tiempo y gastos, descansar en casa.⏳💰⚖️";"C) Casi nunca. 🙅🏻‍♀️";"9";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"";"2026-07-23T19:13:56.487-05:00";"2026-07-23T19:16:01.344-05:00";"";"";"";"";"";"";"820806731";"6472c7e4-98db-4652-b784-63f5406a573e";"2026-07-24T16:30:58";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:6472c7e4-98db-4652-b784-63f5406a573e";"13"
"35";"Mujer";"C) Ahorro, inversiones o metas a futuro. 💵📊";"C) Organizar mi tiempo y gastos, descansar en casa.⏳💰⚖️";"C) Casi nunca. 🙅🏻‍♀️";"6";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"";"2026-07-23T19:16:27.173-05:00";"2026-07-23T19:17:48.240-05:00";"";"";"";"";"";"";"820806732";"006787fc-fdac-4de3-aa4b-2ec3f3878772";"2026-07-24T16:30:58";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:006787fc-fdac-4de3-aa4b-2ec3f3878772";"14"
"15";"Mujer";"C) Ahorro, inversiones o metas a futuro. 💵📊";"B) Hacer ejercicio y meditar💆🏻‍♂️🌳🍱";"C) Casi nunca. 🙅🏻‍♀️";"5";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"";"2026-07-23T19:18:50.551-05:00";"2026-07-23T19:20:50.705-05:00";"";"";"";"";"";"";"820806737";"d7392e0f-4d62-4955-bc88-453d7391b691";"2026-07-24T16:30:58";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:d7392e0f-4d62-4955-bc88-453d7391b691";"15"
"40";"Hombre";"D) Viajes, conciertos, talleres o deportes de aventura.🛫🗽";"C) Organizar mi tiempo y gastos, descansar en casa.⏳💰⚖️";"D) Solo cuando hay un evento o concierto.🧏🏻‍♂️";"4";"D) Visitando un lugar nuevo o una actividad nueva.🧗🎭🎸";"";"2026-07-23T19:21:10.989-05:00";"2026-07-23T19:22:41.335-05:00";"";"";"";"";"";"";"820806742";"3e1e1993-dce8-411e-8155-20e1664692a5";"2026-07-24T16:30:59";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:3e1e1993-dce8-411e-8155-20e1664692a5";"16"
"20";"Hombre";"C) Ahorro, inversiones o metas a futuro. 💵📊";"B) Hacer ejercicio y meditar💆🏻‍♂️🌳🍱";"D) Solo cuando hay un evento o concierto.🧏🏻‍♂️";"9";"B) Activo, deporte y comida.💪🥋🥘";"";"2026-07-23T19:31:16.774-05:00";"2026-07-23T19:32:10.207-05:00";"";"";"";"";"";"";"820806751";"103a3496-c3c1-4be5-b5b3-56d333617da8";"2026-07-24T16:30:59";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:103a3496-c3c1-4be5-b5b3-56d333617da8";"17"
"59";"Mujer";"B) Gimnasio, comida sana, naturaleza o terapias🧠💆🏻‍♂️";"C) Organizar mi tiempo y gastos, descansar en casa.⏳💰⚖️";"C) Casi nunca. 🙅🏻‍♀️";"1";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"";"2026-07-23T19:33:21.660-05:00";"2026-07-23T19:35:32.417-05:00";"";"";"";"";"";"";"820806758";"3eac64c5-88cc-49eb-abb5-a91cb88f40c4";"2026-07-24T16:30:59";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:3eac64c5-88cc-49eb-abb5-a91cb88f40c4";"18"
"22";"Hombre";"A) Fiestas, bebidas y vida nocturna 🍸🌉🪅";"B) Hacer ejercicio y meditar💆🏻‍♂️🌳🍱";"B) 1 o 2 veces. 🧏🏻‍♂️";"5";"A) Improvisado,  amigos y música. 👨🏻‍🦰👩🏻‍🦱💃🕺";"";"2026-07-23T19:40:58.612-05:00";"2026-07-23T19:42:18.221-05:00";"";"";"";"";"";"";"820806762";"aa4dc540-9c9f-48ee-97ca-e3acf85cbace";"2026-07-24T16:31:00";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:aa4dc540-9c9f-48ee-97ca-e3acf85cbace";"19"
"16";"Mujer";"A) Fiestas, bebidas y vida nocturna 🍸🌉🪅";"A) Salir a desconectarme, beber y socializar .🍸🍾🪩";"D) Solo cuando hay un evento o concierto.🧏🏻‍♂️";"1";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"";"2026-07-23T19:42:31.712-05:00";"2026-07-23T19:44:14.320-05:00";"";"";"";"";"";"";"820806770";"e7043b7a-a459-4c58-97c5-c1a1e504ac23";"2026-07-24T16:31:00";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:e7043b7a-a459-4c58-97c5-c1a1e504ac23";"20"
