"Edad:";"Sexo:";"¿En qué destinas la mayor parte de tu dinero de ocio?";"¿Cuál es tu medio principal para liberar el estrés? ";"¿Con qué frecuencia asistes a bares o fiestas al mes? ";"Tus fines de semana se describen como:";"Actualmente, ¿cómo calificas en promedio tu nivel de estrés? (Arrasta sobre la barra, del 1 al 10) ";"_C_mo_calificar_as_t_omedio_Del_1_al_10";"start";"Edad:";"end";"¿En qué destinás la mayor parte de tu dinero de ocio?";"start-geopoint";"_start-geopoint_latitude";"_start-geopoint_longitude";"_start-geopoint_altitude";"_start-geopoint_precision";"¿Cuál es tu medio principal para manejar o liberar el estrés? ";"today";"¿Con qué frecuencia asistes a bares, antros o fiestas al mes? ";"¿Cómo calificarías tu nivel de estrés actual promedio? (Del 1 al 10) 🤦🏻‍♂️|💆🏻‍♂️";"Tu fin de semana ideal se describe mejor como:";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"__version__";"_tags";"meta/rootUuid";"_index"
"22";"";"";"";"";"";"";"";"2026-07-23T19:09:10.417-05:00";"Mujer";"2026-07-23T19:09:56.408-05:00";"B) Gimnasio, comida sana, naturaleza o terapias🧠💆🏻‍♂️";"";"";"";"";"";"A) Salir a desconectarme, beber y socializar .🍸🍾🪩";"";"B) 1 o 2 veces. 🧏🏻‍♂️";"2";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"820806720";"a942551f-63aa-4f19-a133-7b53b43c38d6";"2026-07-24T16:30:57";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:a942551f-63aa-4f19-a133-7b53b43c38d6";"11"
"20";"";"";"";"";"";"";"";"2026-07-23T19:10:27.791-05:00";"Hombre";"2026-07-23T19:13:52.735-05:00";"B) Gimnasio, comida sana, naturaleza o terapias🧠💆🏻‍♂️";"";"";"";"";"";"A) Salir a desconectarme, beber y socializar .🍸🍾🪩";"";"B) 1 o 2 veces. 🧏🏻‍♂️";"6";"A) Improvisado,  amigos y música. 👨🏻‍🦰👩🏻‍🦱💃🕺";"820806726";"97707ee9-9722-488a-9113-fe089d90bf55";"2026-07-24T16:30:57";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:97707ee9-9722-488a-9113-fe089d90bf55";"12"
"44";"";"";"";"";"";"";"";"2026-07-23T19:13:56.487-05:00";"Mujer";"2026-07-23T19:16:01.344-05:00";"B) Gimnasio, comida sana, naturaleza o terapias🧠💆🏻‍♂️";"";"";"";"";"";"C) Organizar mi tiempo y gastos, descansar en casa.⏳💰⚖️";"";"C) Casi nunca. 🙅🏻‍♀️";"9";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"820806731";"6472c7e4-98db-4652-b784-63f5406a573e";"2026-07-24T16:30:58";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:6472c7e4-98db-4652-b784-63f5406a573e";"13"
"35";"";"";"";"";"";"";"";"2026-07-23T19:16:27.173-05:00";"Mujer";"2026-07-23T19:17:48.240-05:00";"C) Ahorro, inversiones o metas a futuro. 💵📊";"";"";"";"";"";"C) Organizar mi tiempo y gastos, descansar en casa.⏳💰⚖️";"";"C) Casi nunca. 🙅🏻‍♀️";"6";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"820806732";"006787fc-fdac-4de3-aa4b-2ec3f3878772";"2026-07-24T16:30:58";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:006787fc-fdac-4de3-aa4b-2ec3f3878772";"14"
"15";"";"";"";"";"";"";"";"2026-07-23T19:18:50.551-05:00";"Mujer";"2026-07-23T19:20:50.705-05:00";"C) Ahorro, inversiones o metas a futuro. 💵📊";"";"";"";"";"";"B) Hacer ejercicio y meditar💆🏻‍♂️🌳🍱";"";"C) Casi nunca. 🙅🏻‍♀️";"5";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"820806737";"d7392e0f-4d62-4955-bc88-453d7391b691";"2026-07-24T16:30:58";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:d7392e0f-4d62-4955-bc88-453d7391b691";"15"
"40";"";"";"";"";"";"";"";"2026-07-23T19:21:10.989-05:00";"Hombre";"2026-07-23T19:22:41.335-05:00";"D) Viajes, conciertos, talleres o deportes de aventura.🛫🗽";"";"";"";"";"";"C) Organizar mi tiempo y gastos, descansar en casa.⏳💰⚖️";"";"D) Solo cuando hay un evento o concierto.🧏🏻‍♂️";"4";"D) Visitando un lugar nuevo o una actividad nueva.🧗🎭🎸";"820806742";"3e1e1993-dce8-411e-8155-20e1664692a5";"2026-07-24T16:30:59";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:3e1e1993-dce8-411e-8155-20e1664692a5";"16"
"20";"";"";"";"";"";"";"";"2026-07-23T19:31:16.774-05:00";"Hombre";"2026-07-23T19:32:10.207-05:00";"C) Ahorro, inversiones o metas a futuro. 💵📊";"";"";"";"";"";"B) Hacer ejercicio y meditar💆🏻‍♂️🌳🍱";"";"D) Solo cuando hay un evento o concierto.🧏🏻‍♂️";"9";"B) Activo, deporte y comida.💪🥋🥘";"820806751";"103a3496-c3c1-4be5-b5b3-56d333617da8";"2026-07-24T16:30:59";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:103a3496-c3c1-4be5-b5b3-56d333617da8";"17"
"59";"";"";"";"";"";"";"";"2026-07-23T19:33:21.660-05:00";"Mujer";"2026-07-23T19:35:32.417-05:00";"B) Gimnasio, comida sana, naturaleza o terapias🧠💆🏻‍♂️";"";"";"";"";"";"C) Organizar mi tiempo y gastos, descansar en casa.⏳💰⚖️";"";"C) Casi nunca. 🙅🏻‍♀️";"1";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"820806758";"3eac64c5-88cc-49eb-abb5-a91cb88f40c4";"2026-07-24T16:30:59";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:3eac64c5-88cc-49eb-abb5-a91cb88f40c4";"18"
"22";"";"";"";"";"";"";"";"2026-07-23T19:40:58.612-05:00";"Hombre";"2026-07-23T19:42:18.221-05:00";"A) Fiestas, bebidas y vida nocturna 🍸🌉🪅";"";"";"";"";"";"B) Hacer ejercicio y meditar💆🏻‍♂️🌳🍱";"";"B) 1 o 2 veces. 🧏🏻‍♂️";"5";"A) Improvisado,  amigos y música. 👨🏻‍🦰👩🏻‍🦱💃🕺";"820806762";"aa4dc540-9c9f-48ee-97ca-e3acf85cbace";"2026-07-24T16:31:00";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:aa4dc540-9c9f-48ee-97ca-e3acf85cbace";"19"
"16";"";"";"";"";"";"";"";"2026-07-23T19:42:31.712-05:00";"Mujer";"2026-07-23T19:44:14.320-05:00";"A) Fiestas, bebidas y vida nocturna 🍸🌉🪅";"";"";"";"";"";"A) Salir a desconectarme, beber y socializar .🍸🍾🪩";"";"D) Solo cuando hay un evento o concierto.🧏🏻‍♂️";"1";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"820806770";"e7043b7a-a459-4c58-97c5-c1a1e504ac23";"2026-07-24T16:31:00";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:e7043b7a-a459-4c58-97c5-c1a1e504ac23";"20"
"23";"";"";"";"";"";"";"";"2026-07-24T18:53:54.822-05:00";"Mujer";"2026-07-24T18:55:25.232-05:00";"C) Ahorro, inversiones o metas a futuro. 💵📊";"";"";"";"";"";"C) Organizar mi tiempo y gastos, descansar en casa.⏳💰⚖️";"";"C) Casi nunca. 🙅🏻‍♀️";"2";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"821095789";"bf123386-c46e-4d36-9e39-8072608d06a4";"2026-07-25T04:36:38";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:bf123386-c46e-4d36-9e39-8072608d06a4";"21"
"47";"";"";"";"";"";"";"";"2026-07-24T18:55:36.132-05:00";"Mujer";"2026-07-24T18:58:32.571-05:00";"B) Gimnasio, comida sana, naturaleza o terapias🧠💆🏻‍♂️";"";"";"";"";"";"C) Organizar mi tiempo y gastos, descansar en casa.⏳💰⚖️";"";"C) Casi nunca. 🙅🏻‍♀️";"10";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"821095791";"771cb629-6aab-4642-9a41-bcb3e8dba383";"2026-07-25T04:36:38";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:771cb629-6aab-4642-9a41-bcb3e8dba383";"22"
"53";"";"";"";"";"";"";"";"2026-07-24T19:08:24.219-05:00";"Mujer";"2026-07-24T19:10:22.122-05:00";"B) Gimnasio, comida sana, naturaleza o terapias🧠💆🏻‍♂️";"";"";"";"";"";"C) Organizar mi tiempo y gastos, descansar en casa.⏳💰⚖️";"";"A) 4 o más veces . 💁🏻‍♀️";"5";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"821095793";"6ae3708f-9961-4012-afd0-fe5b8f08e5f2";"2026-07-25T04:36:38";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:6ae3708f-9961-4012-afd0-fe5b8f08e5f2";"23"
"29";"";"";"";"";"";"";"";"2026-07-24T19:19:03.056-05:00";"Mujer";"2026-07-24T19:20:24.341-05:00";"A) Fiestas, bebidas y vida nocturna 🍸🌉🪅";"";"";"";"";"";"B) Hacer ejercicio y meditar💆🏻‍♂️🌳🍱";"";"B) 1 o 2 veces. 🧏🏻‍♂️";"7";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"821095794";"f754ddd8-8b57-401f-ba61-617fcccc13e9";"2026-07-25T04:36:39";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:f754ddd8-8b57-401f-ba61-617fcccc13e9";"24"
"36";"";"";"";"";"";"";"";"2026-07-24T19:20:34.905-05:00";"Mujer";"2026-07-24T19:24:14.547-05:00";"B) Gimnasio, comida sana, naturaleza o terapias🧠💆🏻‍♂️";"";"";"";"";"";"B) Hacer ejercicio y meditar💆🏻‍♂️🌳🍱";"";"C) Casi nunca. 🙅🏻‍♀️";"8";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"821095796";"1460191f-9760-4dd1-9654-2e528a1aa645";"2026-07-25T04:36:39";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:1460191f-9760-4dd1-9654-2e528a1aa645";"25"
"19";"";"";"";"";"";"";"";"2026-07-24T19:24:37.647-05:00";"Hombre";"2026-07-24T19:25:54.649-05:00";"C) Ahorro, inversiones o metas a futuro. 💵📊";"";"";"";"";"";"B) Hacer ejercicio y meditar💆🏻‍♂️🌳🍱";"";"C) Casi nunca. 🙅🏻‍♀️";"3";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"821095798";"3e6844c9-def7-4816-9b53-bd3ba07cf22c";"2026-07-25T04:36:39";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:3e6844c9-def7-4816-9b53-bd3ba07cf22c";"26"
"19";"";"";"";"";"";"";"";"2026-07-24T19:26:01.129-05:00";"Hombre";"2026-07-24T19:26:55.131-05:00";"B) Gimnasio, comida sana, naturaleza o terapias🧠💆🏻‍♂️";"";"";"";"";"";"C) Organizar mi tiempo y gastos, descansar en casa.⏳💰⚖️";"";"B) 1 o 2 veces. 🧏🏻‍♂️";"3";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"821095802";"7bd27f02-d327-4d74-a829-56339a60d29d";"2026-07-25T04:36:40";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:7bd27f02-d327-4d74-a829-56339a60d29d";"27"
"18";"";"";"";"";"";"";"";"2026-07-24T19:27:07.029-05:00";"Mujer";"2026-07-24T19:33:14.224-05:00";"C) Ahorro, inversiones o metas a futuro. 💵📊";"";"";"";"";"";"C) Organizar mi tiempo y gastos, descansar en casa.⏳💰⚖️";"";"C) Casi nunca. 🙅🏻‍♀️";"2";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"821095805";"cab7e4dd-a225-4a20-ba79-1311e5b4f44a";"2026-07-25T04:36:40";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:cab7e4dd-a225-4a20-ba79-1311e5b4f44a";"28"
"17";"";"";"";"";"";"";"";"2026-07-24T19:33:20.374-05:00";"Hombre";"2026-07-24T19:34:00.618-05:00";"C) Ahorro, inversiones o metas a futuro. 💵📊";"";"";"";"";"";"C) Organizar mi tiempo y gastos, descansar en casa.⏳💰⚖️";"";"C) Casi nunca. 🙅🏻‍♀️";"1";"A) Improvisado,  amigos y música. 👨🏻‍🦰👩🏻‍🦱💃🕺";"821095810";"c49cc2e0-f64a-4cbb-b8f5-d50750b26fec";"2026-07-25T04:36:40";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:c49cc2e0-f64a-4cbb-b8f5-d50750b26fec";"29"
"30";"";"";"";"";"";"";"";"2026-07-24T19:34:12.409-05:00";"Mujer";"2026-07-24T19:35:41.238-05:00";"C) Ahorro, inversiones o metas a futuro. 💵📊";"";"";"";"";"";"A) Salir a desconectarme, beber y socializar .🍸🍾🪩";"";"B) 1 o 2 veces. 🧏🏻‍♂️";"7";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"821095813";"3cad5e20-e0f6-423f-a8d4-0ff73e3f5476";"2026-07-25T04:36:40";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:3cad5e20-e0f6-423f-a8d4-0ff73e3f5476";"30"
"24";"";"";"";"";"";"";"";"2026-07-24T19:36:46.463-05:00";"Hombre";"2026-07-24T19:39:05.208-05:00";"B) Gimnasio, comida sana, naturaleza o terapias🧠💆🏻‍♂️";"";"";"";"";"";"B) Hacer ejercicio y meditar💆🏻‍♂️🌳🍱";"";"D) Solo cuando hay un evento o concierto.🧏🏻‍♂️";"8";"A) Improvisado,  amigos y música. 👨🏻‍🦰👩🏻‍🦱💃🕺";"821095816";"50485afc-a16d-4f2d-a074-9f1fd2410dfb";"2026-07-25T04:36:41";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:50485afc-a16d-4f2d-a074-9f1fd2410dfb";"31"
"16";"";"";"";"";"";"";"";"2026-07-24T19:40:38.342-05:00";"Mujer";"2026-07-24T19:44:43.506-05:00";"A) Fiestas, bebidas y vida nocturna 🍸🌉🪅";"";"";"";"";"";"B) Hacer ejercicio y meditar💆🏻‍♂️🌳🍱";"";"B) 1 o 2 veces. 🧏🏻‍♂️";"3";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"821095820";"a215f7fd-abfe-4d91-971e-a328ebf12b1a";"2026-07-25T04:36:41";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:a215f7fd-abfe-4d91-971e-a328ebf12b1a";"32"
"15";"";"";"";"";"";"";"";"2026-07-24T19:44:54.499-05:00";"Hombre";"2026-07-24T19:45:30.465-05:00";"B) Gimnasio, comida sana, naturaleza o terapias🧠💆🏻‍♂️";"";"";"";"";"";"A) Salir a desconectarme, beber y socializar .🍸🍾🪩";"";"C) Casi nunca. 🙅🏻‍♀️";"1";"A) Improvisado,  amigos y música. 👨🏻‍🦰👩🏻‍🦱💃🕺";"821095825";"e2a079df-1792-4392-ab27-8121f00c5abb";"2026-07-25T04:36:41";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:e2a079df-1792-4392-ab27-8121f00c5abb";"33"
"16";"";"";"";"";"";"";"";"2026-07-24T19:45:37.633-05:00";"Hombre";"2026-07-24T19:47:17.739-05:00";"B) Gimnasio, comida sana, naturaleza o terapias🧠💆🏻‍♂️";"";"";"";"";"";"D) Buscando nuevas experiencias o viajando.🎸🎭🤘";"";"D) Solo cuando hay un evento o concierto.🧏🏻‍♂️";"8";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"821095827";"47330cff-6a69-41ba-b011-2fbf8e48771e";"2026-07-25T04:36:42";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:47330cff-6a69-41ba-b011-2fbf8e48771e";"34"
"22";"";"";"";"";"";"";"";"2026-07-24T19:47:48.742-05:00";"Mujer";"2026-07-24T19:51:11.978-05:00";"B) Gimnasio, comida sana, naturaleza o terapias🧠💆🏻‍♂️";"";"";"";"";"";"B) Hacer ejercicio y meditar💆🏻‍♂️🌳🍱";"";"C) Casi nunca. 🙅🏻‍♀️";"8";"D) Visitando un lugar nuevo o una actividad nueva.🧗🎭🎸";"821095830";"0277e630-576b-4e3f-91aa-b16dc7f14655";"2026-07-25T04:36:42";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:0277e630-576b-4e3f-91aa-b16dc7f14655";"35"
"17";"";"";"";"";"";"";"";"2026-07-24T19:51:23.856-05:00";"Mujer";"2026-07-24T19:52:38.027-05:00";"B) Gimnasio, comida sana, naturaleza o terapias🧠💆🏻‍♂️";"";"";"";"";"";"B) Hacer ejercicio y meditar💆🏻‍♂️🌳🍱";"";"D) Solo cuando hay un evento o concierto.🧏🏻‍♂️";"5";"D) Visitando un lugar nuevo o una actividad nueva.🧗🎭🎸";"821095833";"01a7661e-68cd-47a5-a2b7-c16c7a6d13fe";"2026-07-25T04:36:42";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:01a7661e-68cd-47a5-a2b7-c16c7a6d13fe";"36"
"66";"";"";"";"";"";"";"";"2026-07-24T19:52:48.834-05:00";"Hombre";"2026-07-24T19:57:26.075-05:00";"B) Gimnasio, comida sana, naturaleza o terapias🧠💆🏻‍♂️";"";"";"";"";"";"B) Hacer ejercicio y meditar💆🏻‍♂️🌳🍱";"";"C) Casi nunca. 🙅🏻‍♀️";"5";"B) Activo, deporte y comida.💪🥋🥘";"821095835";"875ec346-5b30-4fa3-8293-335ca529cc81";"2026-07-25T04:36:43";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:875ec346-5b30-4fa3-8293-335ca529cc81";"37"
"21";"";"";"";"";"";"";"";"2026-07-24T20:08:30.355-05:00";"Mujer";"2026-07-24T20:09:52.448-05:00";"D) Viajes, conciertos, talleres o deportes de aventura.🛫🗽";"";"";"";"";"";"D) Buscando nuevas experiencias o viajando.🎸🎭🤘";"";"C) Casi nunca. 🙅🏻‍♀️";"7";"D) Visitando un lugar nuevo o una actividad nueva.🧗🎭🎸";"821095838";"18e7198d-83eb-4aa0-85be-10f475ef311a";"2026-07-25T04:36:43";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:18e7198d-83eb-4aa0-85be-10f475ef311a";"38"
"45";"";"";"";"";"";"";"";"2026-07-24T20:09:56.267-05:00";"Mujer";"2026-07-24T20:11:18.737-05:00";"C) Ahorro, inversiones o metas a futuro. 💵📊";"";"";"";"";"";"C) Organizar mi tiempo y gastos, descansar en casa.⏳💰⚖️";"";"C) Casi nunca. 🙅🏻‍♀️";"10";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"821095841";"9d8e553b-853d-4c7e-b6dd-e43b6c3f60e0";"2026-07-25T04:36:43";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:9d8e553b-853d-4c7e-b6dd-e43b6c3f60e0";"39"
